Loser,Winner,Num_Ways
0,538,2
1,537,10
2,536,24
3,535,54
4,534,134
5,533,282
6,532,528
7,531,1010
8,530,1864
9,529,3202
10,528,5436
11,527,9134
12,526,14746
13,525,23340
14,524,36710
15,523,56482
16,522,85254
17,521,127722
18,520,188922
19,519,275172
20,518,397340
21,517,568776
22,516,804774
23,515,1128818
24,514,1572204
25,513,2170630
26,512,2972932
27,511,4045980
28,510,5468520
29,509,7339790
30,508,9793414
31,507,12992198
32,506,17133086
33,505,22471350
34,504,29323964
35,503,38069590
36,502,49180292
37,501,63243010
38,500,80959420
39,499,103179124
40,498,130945972
41,497,165511074
42,496,208363550
43,495,261301324
44,494,326475684
45,493,406424788
46,492,504162396
47,491,623270774
48,490,767954990
49,489,943142652
50,488,1154633378
51,487,1409203240
52,486,1714718238
53,485,2080337350
54,484,2516698268
55,483,3036064530
56,482,3652574848
61,477,263112690
62,476,1899826366
63,475,3809834014
65,473,27630462
66,472,3022909760
68,470,1897892828
70,468,3213712388
71,467,702521486
75,463,673088454
76,462,3830921558
82,456,3028493830
84,454,1048632708
85,453,1093324604
88,450,1402745070
89,449,3041826038
90,448,1983009198
92,446,2627971186
95,443,2969453320
99,439,3454373204
101,437,4196330194
102,436,1965202636
110,428,354129982
113,425,470108770
114,424,2276136938
118,420,1065057352
121,417,2675120580
123,415,2415389890
125,413,1902149278
129,409,1201024988
132,406,832487336
137,401,3788137774
139,399,3248824326
140,398,3592843374
141,397,531584640
148,390,1758877324
149,389,4026564588
151,387,785307806
152,386,1651806664
156,382,3314649198
161,377,1959158230
163,375,3313303298
164,374,3592646994
166,372,2136680898
167,371,2813906096
168,370,2861531324
169,369,3010053714
170,368,3789699524
173,365,3521347312
175,363,3908736550
177,361,1451510132
178,360,814941660
180,358,2000684812
181,357,185399140
184,354,1196570354
185,353,3406760280
186,352,1514248662
187,351,722689182
190,348,1851005546
191,347,1169271782
194,344,655463188
195,343,4265210268
196,342,2251481286
198,340,1311081432
200,338,1295695868
201,337,1826601896
202,336,2429374128
204,334,1876913904
205,333,3588491932
206,332,2529458266
209,329,797963406
211,327,3520866068
212,326,2293843544
213,325,2552610816
217,321,2518343572
218,320,1828105882
219,319,2177433432
220,318,3269123686
227,311,1070343966
228,310,3395420724
229,309,3216153016
230,308,287905514
231,307,3015133826
232,306,2691785768
234,304,1424753872
235,303,683115906
237,301,287398596
238,300,1513390056
239,299,1633978814
240,298,1435843696
241,297,1860323006
242,296,4013406046
243,295,584281078
244,294,1623194796
245,293,191116670
248,290,607161922
249,289,1304498176
250,288,2334995228
252,286,302225878
253,285,3899766842
254,284,3984980240
256,282,1204172798
258,280,1267189446
260,278,778508362
262,276,969393788
263,275,1390498450
265,273,1376549804
268,270,3917500236
269,269,3723089072
