id,Election_Data,Electoral_Votes,Election
1,"{""Candidate"": [""George Washington (I)"", ""John Adams"", ""George Clinton"", ""Others""], ""Party"": [""Federalist"", ""Federalist"", ""Anti-Federalist"", ""Anti-Federalist""], ""Electoral Votes"": [132, 77, 50, 5]}","[132, 77, 50, 5]",1792
2,"{""Candidate"": [""John Adams"", ""Thomas Jefferson"", ""Thomas Pinckney"", ""Others"", ""Aaron Burr""], ""Party"": [""Federalist"", ""Democratic-Republican"", ""Federalist"", ""Various"", ""Democratic-Republican""], ""Electoral Votes"": [71, 68, 59, 48, 30]}","[71, 68, 59, 48, 30]",1796
3,"{""Candidate"": [""Thomas Jefferson"", ""Aaron Burr"", ""John Adams (I)"", ""Charles C. Pinckney""], ""Party"": [""Democratic-Republican"", ""Democratic-Republican"", ""Federalist"", ""Federalist""], ""Electoral Votes"": [73, 73, 65, 64]}","[73, 73, 65, 64]",1800
4,"{""Candidate"": [""Thomas Jefferson (I)"", ""Charles C. Pinckney""], ""Party"": [""Democratic-Republican"", ""Federalist""], ""Electoral Votes"": [162, 14]}","[162, 14]",1804
5,"{""Candidate"": [""James Madison"", ""Charles C. Pinckney"", ""George Clinton"", ""Other: See Election Facts Below""], ""Party"": [""Democratic-Republican"", ""Federalist"", ""Democratic-Republican"", """"], ""Electoral Votes"": [122, 47, 6, 1]}","[122, 47, 6, 1]",1808
6,"{""Candidate"": [""James Madison (I)"", ""De Witt Clinton"", ""Other: See Election Facts Below""], ""Party"": [""Democratic-Republican"", ""Federalist"", """"], ""Electoral Votes"": [128, 89, 1]}","[128, 89, 1]",1812
7,"{""Candidate"": [""James Monroe"", ""Rufus King"", ""Other: See Election Facts Below""], ""Party"": [""Democratic-Republican"", ""Federalist"", """"], ""Electoral Votes"": [183, 34, 4]}","[183, 34, 4]",1816
8,"{""Candidate"": [""James Monroe (I)"", ""John Quincy Adams"", ""Other: See Election Facts Below""], ""Party"": [""Democratic-Republican"", ""Democratic-Republican"", """"], ""Electoral Votes"": [231, 1, 3]}","[231, 1, 3]",1820
9,"{""Candidate"": [""Andrew Jackson"", ""John Quincy Adams"", ""William H. Crawford"", ""Henry Clay""], ""Party"": [""Democratic-Republican"", ""Democratic-Republican"", ""Democratic-Republican"", ""Democratic-Republican""], ""Electoral Votes"": [99, 84, 41, 37]}","[99, 84, 41, 37]",1824
10,"{""Candidate"": [""Andrew Jackson"", ""John Quincy Adams (I)""], ""Party"": [""Democratic"", ""National Republican""], ""Electoral Votes"": [178, 83]}","[178, 83]",1828
11,"{""Candidate"": [""Andrew Jackson (I)"", ""Henry Clay"", ""John Floyd"", ""William Wirt"", ""Other: See Election Facts Below""], ""Party"": [""Democratic"", ""National Republican"", ""Independent"", ""Anti-Masonic"", """"], ""Electoral Votes"": [219, 49, 11, 7, 2]}","[219, 49, 11, 7, 2]",1832
12,"{""Candidate"": [""Martin Van Buren"", ""William H. Harrison"", ""Hugh L. White"", ""Daniel Webster"", ""W.P. Mangum""], ""Party"": [""Democratic"", ""Whig"", ""Whig"", ""Whig"", ""Independent""], ""Electoral Votes"": [170, 73, 26, 14, 11]}","[170, 73, 26, 14, 11]",1836
13,"{""Candidate"": [""William H. Harrison"", ""Martin Van Buren (I)""], ""Party"": [""Whig"", ""Democratic""], ""Electoral Votes"": [234, 60]}","[234, 60]",1840
14,"{""Candidate"": [""James K. Polk"", ""Henry Clay""], ""Party"": [""Democratic"", ""Whig""], ""Electoral Votes"": [170, 105]}","[170, 105]",1844
15,"{""Candidate"": [""Zachary Taylor"", ""Lewis Cass"", ""Martin Van Buren""], ""Party"": [""Whig"", ""Democratic"", ""Free Soil""], ""Electoral Votes"": [163, 127, 0]}","[163, 127, 0]",1848
16,"{""Candidate"": [""Franklin Pierce"", ""Winfield Scott"", ""John P. Hale""], ""Party"": [""Democratic"", ""Whig"", ""Free Soil""], ""Electoral Votes"": [254, 42, 0]}","[254, 42, 0]",1852
17,"{""Candidate"": [""James Buchanan"", ""John C. Fremont"", ""Millard Fillmore""], ""Party"": [""Democratic"", ""Republican"", ""American""], ""Electoral Votes"": [174, 114, 8]}","[174, 114, 8]",1856
18,"{""Candidate"": [""Abraham Lincoln"", ""John C. Breckinridge"", ""John Bell"", ""Stephen A. Douglas""], ""Party"": [""Republican"", ""Democratic"", ""Constitutional Union"", ""Democratic""], ""Electoral Votes"": [180, 72, 39, 12]}","[180, 72, 39, 12]",1860
